"","X.1","X","numquake","avgmag","summag","locx","locy","numdrill","sumbbls","sumpsi","numbigquake","rfp","catbig"
"1",1,1,0,0,0,-99.9125,36.9277777777778,0,0,0,0,0.0177596475608202,0
"2",2,2,0,0,0,-99.7375,36.9277777777778,0,0,0,0,0.0177596475608202,0
"3",3,3,0,0,0,-99.5625,36.9277777777778,0,0,0,0,0.0177596475608202,0
"4",4,4,0,0,0,-99.3875,36.9277777777778,0,0,0,0,0.0177596475608202,0
"5",5,5,0,0,0,-99.2125,36.9277777777778,1,50000,1500,0,-1.59108837216593e-17,0
"6",6,6,0,0,0,-99.0375,36.9277777777778,2,90000,1900,0,-1.81590853465252e-17,0
"7",7,7,0,0,0,-98.8625,36.9277777777778,0,0,0,0,0.0177596475608202,0
"8",8,8,0,0,0,-98.6875,36.9277777777778,1,1000,1122,0,-1.49394385751123e-17,0
"9",9,9,0,0,0,-98.5125,36.9277777777778,0,0,0,0,0.0177596475608202,0
"10",10,10,0,0,0,-98.3375,36.9277777777778,0,0,0,0,0.0177596475608202,0
"11",11,11,0,0,0,-98.1625,36.9277777777778,0,0,0,0,0.0177596475608202,0
"12",12,12,0,0,0,-97.9875,36.9277777777778,0,0,0,0,0.0177596475608202,0
"13",13,13,0,0,0,-97.8125,36.9277777777778,0,0,0,0,0.0177596475608202,0
"14",14,14,0,0,0,-97.6375,36.9277777777778,0,0,0,0,0.0177596475608202,0
"15",15,15,0,0,0,-97.4625,36.9277777777778,0,0,0,0,0.0177596475608202,0
"16",16,16,1,2.7,2.7,-97.2875,36.9277777777778,1,5000,100,1,0.0720847135623752,1
"17",17,17,0,0,0,-97.1125,36.9277777777778,2,7000,600,0,0.0062,0
"18",18,18,0,0,0,-96.9375,36.9277777777778,0,0,0,0,0.0177596475608202,0
"19",19,19,0,0,0,-96.7625,36.9277777777778,0,0,0,0,0.0177596475608202,0
"20",20,20,0,0,0,-96.5875,36.9277777777778,0,0,0,0,0.0177596475608202,0
"21",21,21,0,0,0,-96.4125000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"22",22,22,0,0,0,-96.2375000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"23",23,23,0,0,0,-96.0625000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"24",24,24,0,0,0,-95.8875000000001,36.9277777777778,1,5000,2000,0,0.0218095238095238,0
"25",25,25,0,0,0,-95.7125000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"26",26,26,0,0,0,-95.5375000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"27",27,27,0,0,0,-95.3625000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"28",28,28,0,0,0,-95.1875000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"29",29,29,0,0,0,-95.0125000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"30",30,30,0,0,0,-94.8375000000001,36.9277777777778,0,0,0,0,0.0177596475608202,0
"31",31,31,0,0,0,-99.9125,36.7833333333333,0,0,0,0,0.0177596475608202,0
"32",32,32,0,0,0,-99.7375,36.7833333333333,0,0,0,0,0.0177596475608202,0
"33",33,33,0,0,0,-99.5625,36.7833333333333,0,0,0,0,0.0177596475608202,0
"34",34,34,0,0,0,-99.3875,36.7833333333333,0,0,0,0,0.0177596475608202,0
"35",35,35,0,0,0,-99.2125,36.7833333333333,1,40000,400,0,-1.33018596137902e-17,0
"36",36,36,0,0,0,-99.0375,36.7833333333333,2,80000,800,0,0.133466666666667,0
"37",37,37,0,0,0,-98.8625,36.7833333333333,0,0,0,0,0.0177596475608202,0
"38",38,38,0,0,0,-98.6875,36.7833333333333,0,0,0,0,0.0177596475608202,0
"39",39,39,0,0,0,-98.5125,36.7833333333333,0,0,0,0,0.0177596475608202,0
"40",40,40,0,0,0,-98.3375,36.7833333333333,0,0,0,0,0.0177596475608202,0
"41",41,41,0,0,0,-98.1625,36.7833333333333,1,50000,1500,0,-1.59108837216593e-17,0
"42",42,42,0,0,0,-97.9875,36.7833333333333,1,7500,2500,0,-1.79856129989275e-17,0
"43",43,43,0,0,0,-97.8125,36.7833333333333,0,0,0,0,0.0177596475608202,0
"44",44,44,0,0,0,-97.6375,36.7833333333333,1,15000,500,0,-1.38430933382949e-17,0
"45",45,45,0,0,0,-97.4625,36.7833333333333,2,16000,800,0,0.133466666666667,0
"46",46,46,0,0,0,-97.2875,36.7833333333333,0,0,0,0,0.0177596475608202,0
"47",47,47,0,0,0,-97.1125,36.7833333333333,0,0,0,0,0.0177596475608202,0
"48",48,48,0,0,0,-96.9375,36.7833333333333,0,0,0,0,0.0177596475608202,0
"49",49,49,0,0,0,-96.7625,36.7833333333333,1,3500,1122,0,-1.54945500874248e-17,0
"50",50,50,0,0,0,-96.5875,36.7833333333333,0,0,0,0,0.0177596475608202,0
"51",51,51,0,0,0,-96.4125000000001,36.7833333333333,0,0,0,0,0.0177596475608202,0
"52",52,52,0,0,0,-96.2375000000001,36.7833333333333,0,0,0,0,0.0177596475608202,0
"53",53,53,0,0,0,-96.0625000000001,36.7833333333333,0,0,0,0,0.0177596475608202,0
"54",54,54,0,0,0,-95.8875000000001,36.7833333333333,7,12300,3400,0,-1.81937798160448e-17,0
"55",55,55,0,0,0,-95.7125000000001,36.7833333333333,10,21300,4645,0,-1.72847847146329e-17,0
"56",56,56,0,0,0,-95.5375000000001,36.7833333333333,15,26800,6365,0,-1.64243618705484e-17,0
"57",57,57,0,0,0,-95.3625000000001,36.7833333333333,0,0,0,0,0.0177596475608202,0
"58",58,58,0,0,0,-95.1875000000001,36.7833333333333,0,0,0,0,0.0177596475608202,0
"59",59,59,0,0,0,-95.0125000000001,36.7833333333333,0,0,0,0,0.0177596475608202,0
"60",60,60,0,0,0,-94.8375000000001,36.7833333333333,0,0,0,0,0.0177596475608202,0
"61",61,61,0,0,0,-99.9125,36.6388888888889,0,0,0,0,0.0177596475608202,0
"62",62,62,0,0,0,-99.7375,36.6388888888889,0,0,0,0,0.0177596475608202,0
"63",63,63,0,0,0,-99.5625,36.6388888888889,0,0,0,0,0.0177596475608202,0
"64",64,64,0,0,0,-99.3875,36.6388888888889,0,0,0,0,0.0177596475608202,0
"65",65,65,0,0,0,-99.2125,36.6388888888889,0,0,0,0,0.0177596475608202,0
"66",66,66,0,0,0,-99.0375,36.6388888888889,0,0,0,0,0.0177596475608202,0
"67",67,67,0,0,0,-98.8625,36.6388888888889,0,0,0,0,0.0177596475608202,0
"68",68,68,0,0,0,-98.6875,36.6388888888889,0,0,0,0,0.0177596475608202,0
"69",69,69,0,0,0,-98.5125,36.6388888888889,0,0,0,0,0.0177596475608202,0
"70",70,70,0,0,0,-98.3375,36.6388888888889,0,0,0,0,0.0177596475608202,0
"71",71,71,0,0,0,-98.1625,36.6388888888889,1,50000,1500,0,-1.59108837216593e-17,0
"72",72,72,0,0,0,-97.9875,36.6388888888889,1,5000,2400,0,0.0218095238095238,0
"73",73,73,0,0,0,-97.8125,36.6388888888889,0,0,0,0,0.0177596475608202,0
"74",74,74,0,0,0,-97.6375,36.6388888888889,0,0,0,0,0.0177596475608202,0
"75",75,75,0,0,0,-97.4625,36.6388888888889,0,0,0,0,0.0177596475608202,0
"76",76,76,0,0,0,-97.2875,36.6388888888889,4,160000,8650,0,-1.67782454596477e-17,0
