"","X","quaketot","bigquake","medquake","welltot","welltot6","wellcum","psitot","psitot6","psicum","bblstot","bblstot6","time","bblscum"
"1",1,0,0,0,14,122,5813,23800,162885,5962329,20275,219584,1,14995328
"2",2,0,0,0,13,119,5827,10847,154532,5973176,21680,223614,2,15017008
"3",3,4,2,4,20,122,5840,22330,152462,5995506,21250,218164,3,15038258
"4",4,1,0,1,19,124,5860,26897,163487,6022403,28380,224969,4,15066638
"5",5,0,0,0,20,108,5879,19994,124990,6042397,53225,197444,5,15119863
"6",6,0,0,0,8,94,5899,9762,113630,6052159,7180,151990,6,15127043
"7",7,2,1,1,39,119,5907,88600,178430,6140759,89599,221314,7,15216642
"8",8,3,3,3,19,125,5946,33150,200733,6173909,21200,220834,8,15237842
"9",9,0,0,0,11,116,5965,8200,186603,6182109,24750,224334,9,15262592
"10",10,1,0,1,23,120,5976,28446,188152,6210555,68084,264038,10,15330676
"11",11,2,1,2,10,110,5999,7800,175958,6218355,20850,231663,11,15351526
"12",12,1,0,1,16,118,6009,16535,182731,6234890,29405,253888,12,15380931
"13",13,5,1,4,12,91,6025,8522,102653,6243412,11800,176089,13,15392731
"14",14,3,1,3,14,86,6037,9397,78900,6252809,10750,165639,14,15403481
"15",15,2,1,2,12,87,6051,8966,79666,6261775,37300,178189,15,15440781
"16",16,0,0,0,18,82,6063,29197,80417,6290972,41600,151705,16,15482381
"17",17,3,1,3,19,91,6081,15144,87761,6306116,10800,141655,17,15493181
"18",18,0,0,0,19,94,6100,19869,91095,6325985,26100,138350,18,15519281
"19",19,0,0,0,10,92,6119,8322,90895,6334307,9050,135600,19,15528331
"20",20,0,0,0,11,89,6129,14200,95698,6348507,14650,139500,20,15542981
"21",21,2,1,2,6,83,6140,8442,95174,6356949,12450,114650,21,15555431
"22",22,0,0,0,14,79,6146,16144,82121,6373093,31550,104600,22,15586981
"23",23,0,0,0,17,77,6160,14619,81596,6387712,29100,122900,23,15616081
"24",24,5,3,5,23,81,6177,25744,87471,6413456,54850,151650,24,15670931
"25",25,2,2,2,11,82,6200,11744,90893,6425200,35800,178400,25,15706731
"26",26,0,0,0,23,94,6211,16150,92843,6441350,41225,204975,26,15747956
"27",27,0,0,0,19,107,6234,12692,97093,6454042,30025,222550,27,15777981
"28",28,3,2,3,19,112,6253,20215,101164,6474257,18725,209725,28,15796706
"29",29,0,0,0,29,124,6272,26325,112870,6500582,41950,222575,29,15838656
"30",30,0,0,0,12,113,6301,13100,100226,6513682,28200,195925,30,15866856
"31",31,2,1,2,9,111,6313,12622,101104,6526304,23350,183475,31,15890206
"32",32,0,0,0,15,103,6322,15522,100476,6541826,23300,165550,32,15913506
"33",33,0,0,0,23,107,6337,18470,106254,6560296,44400,179925,33,15957906
"34",34,2,1,2,6,94,6360,5600,91639,6565896,8300,169500,34,15966206
"35",35,1,0,1,4,69,6366,1750,67064,6567646,2100,129650,35,15968306
"36",36,0,0,0,7,64,6370,6522,60486,6574168,41000,142450,36,16009306
"37",37,1,0,1,4,59,6377,3400,51264,6577568,8000,127100,37,16017306
"38",38,1,0,1,29,73,6381,27350,63092,6604918,47250,151050,38,16064556
"39",39,3,2,3,15,65,6410,19100,63722,6624018,52600,159250,39,16117156
"40",40,0,0,0,6,65,6425,4075,62197,6628093,13200,164150,40,16130356
"41",41,2,1,2,14,75,6431,12342,72789,6640435,26242,188292,41,16156598
"42",42,0,0,0,7,75,6445,10785,77052,6651220,9600,156892,42,16166198
"43",43,0,0,0,14,85,6452,14122,87774,6665342,60975,209867,43,16227173
"44",44,1,0,1,11,67,6466,7445,67869,6672787,48800,211417,44,16275973
"45",45,0,0,0,6,58,6477,9422,58191,6682209,12200,171017,45,16288173
"46",46,4,2,4,8,60,6483,7272,61388,6689481,10342,168159,46,16298515
"47",47,1,0,1,8,54,6491,7300,56346,6696781,51300,193217,47,16349815
"48",48,0,0,0,12,59,6499,12144,57705,6708925,44250,227867,48,16394065
"49",49,1,0,0,9,54,6511,9781,53364,6718706,12935,179827,49,16407000
"50",50,4,0,4,21,64,6520,21934,67853,6740640,69700,200727,50,16476700
"51",51,0,0,0,17,75,6541,24072,82503,6764712,83750,272277,51,16560450
"52",52,0,0,0,16,83,6558,27297,102528,6792009,38350,300285,52,16598800
"53",53,0,0,0,6,81,6574,6530,101758,6798539,21250,270235,53,16620050
"54",54,3,1,2,24,93,6580,29015,118629,6827554,62350,288335,54,16682400
"55",55,1,0,1,12,96,6604,7925,116773,6835479,37400,312800,55,16719800
"56",56,7,3,7,7,82,6616,10550,105389,6846029,48850,291950,56,16768650
"57",57,1,0,1,10,75,6623,7272,88589,6853301,14600,222800,57,16783250
"58",58,2,0,2,10,69,6633,14132,75424,6867433,28550,213000,58,16811800
"59",59,0,0,0,24,87,6643,25806,94700,6893239,173992,365742,59,16985792
"60",60,1,1,1,19,82,6667,27652,93337,6920891,113492,416884,60,17099284
"61",61,0,0,0,16,86,6686,16094,101506,6936985,103100,482584,61,17202384
"62",62,1,0,0,10,89,6702,11900,102856,6948885,30000,463734,62,17232384
"63",63,2,1,2,6,85,6712,6672,102256,6955557,49100,498234,63,17281484
"64",64,0,0,0,14,89,6718,12766,100890,6968323,47200,516884,64,17328684
"65",65,7,2,6,11,76,6732,13100,88184,6981423,44600,387492,65,17373284
"66",66,1,1,1,15,72,6743,13594,74126,6995017,111600,385600,66,17484884
"67",67,2,1,2,10,66,6758,12766,70798,7007783,24000,306500,67,17508884
"68",68,3,3,3,10,66,6768,11050,69948,7018833,20850,297350,68,17529734
"69",69,11,8,11,12,72,6778,9972,73248,7028805,21080,269330,69,17550814
"70",70,0,0,0,15,73,6790,22322,82804,7051127,38297,260427,70,17589111
"71",71,2,2,2,22,84,6805,22294,91998,7073421,39775,255602,71,17628886
"72",72,2,1,2,12,81,6827,10450,88854,7083871,22750,166752,72,17651636
"73",73,3,1,3,11,82,6839,12214,88302,7096085,41292,184044,73,17692928
"74",74,2,1,2,3,75,6850,4200,81452,7100285,12400,175594,74,17705328
"75",75,2,0,1,11,74,6853,13475,84955,7113760,37500,192014,75,17742828
"76",76,1,0,1,15,74,6864,19844,82477,7133604,110550,264267,76,17853378
"77",77,1,1,1,15,67,6879,10666,70849,7144270,64200,288692,77,17917578
"78",78,2,2,2,8,63,6894,7222,67621,7151492,10200,276142,78,17927778
"79",79,1,0,1,12,64,6902,9272,64679,7160764,11850,246700,79,17939628
"80",80,0,0,0,31,92,6914,28239,88718,7189003,465560,699860,80,18405188
"81",81,2,2,2,18,99,6945,13845,89088,7202848,160390,822750,81,18565578
"82",82,3,2,3,17,101,6963,20744,89988,7223592,27480,739680,82,18593058
"83",83,3,1,3,18,104,6980,14657,93979,7238249,29100,704580,83,18622158
"84",84,1,0,1,8,104,6998,6494,93251,7244743,21400,715780,84,18643558
"85",85,1,0,1,11,103,7006,7972,91951,7252715,47170,751100,85,18690728
"86",86,2,0,1,8,80,7017,8176,71888,7260891,8850,294390,86,18699578
"87",87,0,0,0,19,81,7025,30715,88758,7291606,43642,177642,87,18743220
